Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-29,40.8497536999135,40.8497536999135,39.56726288216685,40.17525863647461,67600,0.0,0
2019-07-30,39.79525625791194,41.172748565768174,39.348757826497916,40.73575210571289,81300,0.0,0
2019-07-31,40.50775067448637,42.22724142024725,40.50775067448637,41.24874496459961,98500,0.0,0
2019-08-01,41.18224697485167,41.18224697485167,37.94276690926029,38.99726104736328,95300,0.0,0
2019-08-02,39.09227047953756,39.605264694386854,37.07827976960703,38.67427062988281,79400,0.0,0
2019-08-05,38.1992663208525,40.46975190330829,37.85726782536388,39.55775833129883,93600,0.0,0
2019-08-06,39.90925037735596,40.32725009890627,38.83575965814147,39.52925491333008,103600,0.0,0
2019-08-07,39.29175809877137,39.70025586772778,37.857264922034176,39.03525924682617,81800,0.0,0
2019-08-08,39.234764618677914,39.92826003612295,38.55077117382213,39.57676315307617,59200,0.0,0
2019-08-09,39.72875593986532,40.00425511919098,38.72176081402335,39.2917594909668,48100,0.0,0
2019-08-12,39.11126098774815,40.5837549538721,38.8167650936757,40.023258209228516,63400,0.0,0
2019-08-13,40.00425812691254,41.03025002424572,40.00425812691254,40.25125503540039,66000,0.0,0
2019-08-14,39.76675201631671,39.92824926737037,38.73125834374875,39.27275466918945,43800,0.0,0
2019-08-15,39.06376228676252,39.462761753570874,38.569764845159064,39.15876388549805,91700,0.0,0
2019-08-16,39.1682601685331,40.0327547397797,39.158761821130504,39.53875732421875,79200,0.0,0
2019-08-19,39.928259621900374,40.32725911587263,39.529263751868804,39.890262603759766,48300,0.0,0
2019-08-20,39.9567601160573,40.4127569286759,39.08276350724961,39.62425994873047,69900,0.0,0
2019-08-21,40.032750624535815,40.18474953493414,39.18725645894887,39.52925491333008,56300,0.0,0
2019-08-22,39.747762559180885,40.080259122151865,39.28226374708076,39.47226333618164,46300,0.0,0
2019-08-23,39.244264081784785,39.38676104604491,37.83827301556333,38.085269927978516,98500,0.0,0
2019-08-26,38.486263650278616,39.20233154296876,38.14255047904981,39.20233154296875,71900,0.2,0
2019-08-27,39.29781117020622,39.29781117020622,36.920463839384084,37.636531829833984,53700,0.0,0
2019-08-28,37.75110617508887,38.19029367828267,37.33101061367722,37.51241683959961,42800,0.0,0
2019-08-29,37.93250930422503,38.133007474811954,36.767704164816706,36.81544494628906,43500,0.0,0
2019-08-30,37.00639276400027,37.53151221281719,36.357161125855185,37.13051223754883,54900,0.0,0
2019-09-03,36.8154426997449,37.35010445535068,36.5576577923878,36.901371002197266,74100,0.0,0
2019-09-04,37.30236356599833,37.350100697644685,36.71996109042756,37.235530853271484,35900,0.0,0
2019-09-05,37.61744153198675,38.68676875798673,37.28327426991093,37.961151123046875,53900,0.0,0
2019-09-06,38.12346104369194,38.3526007667087,37.38829745163523,37.75110626220703,28500,0.0,0
2019-09-09,37.84658043521636,38.190293660902114,37.407392932222436,37.56015396118164,40400,0.0,0
2019-09-10,37.50286967650463,38.49581825111163,37.197347598488705,38.1902961730957,44100,0.0,0
2019-09-11,38.247580842992306,39.011385996384185,38.00889150492545,38.75360107421875,36200,0.0,0
2019-09-12,38.476719288519845,39.584237634638235,38.31441229224438,39.38373947143555,59400,0.0,0
2019-09-13,39.53650604147581,40.86361832036942,39.53650604147581,40.23347854614258,61700,0.0,0
2019-09-16,40.10935436243162,40.4435216176272,39.70835802672919,40.0234260559082,29000,0.0,0
2019-09-17,39.765642447046645,40.08071045775369,39.421929241104415,39.870662689208984,33700,0.0,0
2019-09-18,39.861117715344086,40.5580901149903,39.71790266191797,40.319400787353516,34000,0.0,0
2019-09-19,40.500800553562215,41.80882060052609,39.88021053005505,40.81587219238281,27600,0.0,0
2019-09-20,40.73948683984455,42.305291663557206,40.51034715781509,42.20026779174805,132700,0.0,0
2019-09-23,41.84701610281938,42.66810435864098,41.55104001525249,42.05706024169922,35000,0.0,0
2019-09-24,41.990225476902566,41.990225476902566,40.39578253943312,40.72994613647461,85700,0.0,0
2019-09-25,40.758593910259556,41.65606823718444,40.73949832435577,41.45556640625,43800,0.0,0
2019-09-26,41.484206301811376,41.541489410087664,40.806329478400976,41.13094711303711,50300,0.0,0
2019-09-27,41.16913364896736,41.61787074427366,40.433970092829185,40.63447189331055,20800,0.0,0
2019-09-30,40.63447010390107,40.930442522145995,39.99478084884,40.071163177490234,31700,0.0,0
2019-10-01,40.20483513067933,40.20483513067933,38.9350060267607,39.24052810668945,38300,0.0,0
2019-10-02,38.97319129878581,39.67016366577016,38.45762150114479,39.51740264892578,63400,0.0,0
2019-10-03,39.2978096739588,39.727451180292356,38.81088506152078,39.63197326660156,63800,0.0,0
2019-10-04,40.09025573730469,40.243016740978824,39.26916397676511,40.09025573730469,59300,0.0,0
2019-10-07,39.99478760780141,39.99478760780141,39.35510188674587,39.813385009765625,55400,0.0,0
2019-10-08,39.698807964376684,39.81337781389664,38.85862056964066,39.21187973022461,32900,0.0,0
2019-10-09,39.37419650547189,39.63197779662701,38.76314871433668,39.412384033203125,50300,0.0,0
2019-10-10,39.603333218101845,39.71790307677336,38.7917909525042,39.38373947143555,107000,0.0,0
2019-10-11,39.71790401464549,40.720402138551556,39.2787165109422,39.97568893432617,51400,0.0,0
2019-10-14,39.83247651590974,39.92795079096989,38.581743116805,39.04957580566406,42800,0.0,0
2019-10-15,39.336002425640594,39.73699875298189,39.030480373730036,39.62242889404297,42700,0.0,0
2019-10-16,39.49831008911133,39.77519059148903,38.98274389412724,39.49831008911133,26100,0.0,0
2019-10-17,39.507862790349314,39.60333707485494,39.22143629472193,39.33600616455078,42300,0.0,0
2019-10-18,39.068664045940494,39.4410224244652,38.79178721765106,39.28826141357422,40900,0.0,0
2019-10-21,39.66061556783039,40.290755183769924,39.603328823795984,39.842018127441406,24500,0.0,0
2019-10-22,39.81337962604144,40.09026011358452,39.5174035556909,39.72745132446289,28000,0.0,0
2019-10-23,39.58422931068861,39.8133726219565,39.19277903727588,39.60332489013672,18000,0.0,0
2019-10-24,39.71790403170443,39.92795181274414,39.31690769565795,39.92795181274414,22500,0.0,0
2019-10-25,39.71790858805789,40.30031121712709,39.71790858805789,39.994789123535156,14000,0.0,0
