Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-22,85.86000061035156,86.97000122070312,85.41000366210938,86.0199966430664,71000,0,0
2019-07-23,86.4000015258789,87.18000030517578,83.91999816894531,84.13999938964844,130600,0,0
2019-07-24,83.76000213623047,88.6500015258789,83.52999877929688,88.12999725341797,111700,0,0
2019-07-25,88.11000061035156,90.51000213623047,87.33000183105469,87.58000183105469,77500,0,0
2019-07-26,87.91000366210938,88.94000244140625,87.91000366210938,88.66000366210938,49700,0,0
2019-07-29,88.55999755859375,91.81999969482422,88.55000305175781,89.98999786376953,99600,0,0
2019-07-30,89.54000091552734,90.83000183105469,88.33000183105469,89.94000244140625,74300,0,0
2019-07-31,89.86000061035156,92.27999877929688,89.62999725341797,90.16000366210938,70600,0,0
2019-08-01,89.77999877929688,91.05000305175781,87.98999786376953,88.97000122070312,92300,0,0
2019-08-02,88.33000183105469,89.0199966430664,86.54000091552734,87.3499984741211,41000,0,0
2019-08-05,86.27999877929688,86.95999908447266,84.70999908447266,86.4800033569336,69700,0,0
2019-08-06,86.7300033569336,90.1500015258789,85.9000015258789,89.48999786376953,106600,0,0
2019-08-07,88.69999694824219,89.5,87.62000274658203,88.94999694824219,116200,0,0
2019-08-08,89.51000213623047,91.83999633789062,89.51000213623047,91.31999969482422,75800,0,0
2019-08-09,90.94000244140625,93.33999633789062,88.94999694824219,91.91000366210938,116400,0,0
2019-08-12,91.25,93.1500015258789,86.9800033569336,87.8499984741211,164700,0,0
2019-08-13,87.91999816894531,91.69999694824219,87.1500015258789,91.1500015258789,83800,0,0
2019-08-14,89.98999786376953,90.29000091552734,88.5,88.8499984741211,114800,0,0
2019-08-15,89.16999816894531,91.33999633789062,87.0,90.97000122070312,201000,0,0
2019-08-16,95.94000244140625,97.16000366210938,88.41000366210938,92.0,322400,0,0
2019-08-19,94.16000366210938,94.16000366210938,86.44999694824219,86.66999816894531,259000,0,0
2019-08-20,87.19999694824219,89.63999938964844,86.08999633789062,88.80999755859375,185300,0,0
2019-08-21,89.98999786376953,90.75,88.04000091552734,88.19000244140625,181200,0,0
2019-08-22,88.0199966430664,88.7300033569336,86.30000305175781,87.55000305175781,97600,0,0
2019-08-23,86.7300033569336,88.70999908447266,84.87000274658203,85.05000305175781,118200,0,0
2019-08-26,85.88999938964844,87.52999877929688,84.36000061035156,87.16000366210938,85100,0,0
2019-08-27,87.18000030517578,87.7699966430664,84.36000061035156,85.37999725341797,149600,0,0
2019-08-28,85.30000305175781,89.37999725341797,84.83000183105469,88.3499984741211,141100,0,0
2019-08-29,89.31999969482422,90.5999984741211,87.04000091552734,87.2300033569336,136100,0,0
2019-08-30,87.13999938964844,87.87999725341797,85.04000091552734,85.77999877929688,112600,0,0
2019-09-03,84.87999725341797,85.5,83.2300033569336,85.08000183105469,201500,0,0
2019-09-04,85.95999908447266,87.97000122070312,85.12000274658203,86.18000030517578,113700,0,0
2019-09-05,86.87000274658203,89.05000305175781,86.4800033569336,88.1500015258789,89800,0,0
2019-09-06,88.12000274658203,88.36000061035156,86.73999786376953,87.05000305175781,107300,0,0
2019-09-09,87.05000305175781,91.05000305175781,87.05000305175781,90.97000122070312,119500,0,0
2019-09-10,90.97000122070312,92.94999694824219,89.08999633789062,92.72000122070312,154700,0,0
2019-09-11,92.62000274658203,94.0,90.8499984741211,92.5999984741211,130100,0,0
2019-09-12,92.72000122070312,94.44000244140625,91.13999938964844,92.68000030517578,127500,0,0
2019-09-13,92.9800033569336,94.86000061035156,92.81999969482422,94.37000274658203,123900,0,0
2019-09-16,93.83999633789062,94.33000183105469,92.27999877929688,92.95999908447266,107400,0,0
2019-09-17,92.20999908447266,93.11000061035156,90.76000213623047,91.02999877929688,123300,0,0
2019-09-18,91.01000213623047,91.87999725341797,89.70999908447266,91.73999786376953,99200,0,0
2019-09-19,92.19999694824219,92.4800033569336,90.6500015258789,91.52999877929688,115500,0,0
2019-09-20,91.55000305175781,93.66999816894531,91.55000305175781,92.94000244140625,135500,0,0
2019-09-23,92.70999908447266,95.01000213623047,91.5999984741211,93.93000030517578,69400,0,0
2019-09-24,93.86000061035156,94.86000061035156,92.25,92.73999786376953,65300,0,0
2019-09-25,92.66999816894531,93.45999908447266,91.68000030517578,92.80999755859375,43700,0,0
2019-09-26,92.9000015258789,93.2300033569336,91.01000213623047,91.37000274658203,72800,0,0
2019-09-27,91.5999984741211,92.12000274658203,90.56999969482422,91.44999694824219,54700,0,0
2019-09-30,91.68000030517578,92.4000015258789,90.55000305175781,91.69999694824219,64200,0,0
2019-10-01,91.94000244140625,93.61000061035156,89.80999755859375,89.9800033569336,83500,0,0
2019-10-02,89.2300033569336,89.5999984741211,86.5999984741211,87.12000274658203,62500,0,0
2019-10-03,86.94000244140625,86.94000244140625,84.0999984741211,85.5,53200,0,0
2019-10-04,85.5999984741211,86.20999908447266,84.26000213623047,86.18000030517578,37600,0,0
2019-10-07,85.81999969482422,87.22000122070312,84.5999984741211,85.12999725341797,61800,0,0
2019-10-08,84.37999725341797,85.0,83.41000366210938,83.94999694824219,47500,0,0
2019-10-09,84.79000091552734,85.48999786376953,84.04000091552734,84.75,47800,0,0
2019-10-10,85.23999786376953,85.94000244140625,84.72000122070312,85.45999908447266,67400,0,0
2019-10-11,86.5999984741211,89.26000213623047,86.5,87.12000274658203,45600,0,0
2019-10-14,86.69000244140625,87.33999633789062,85.8499984741211,87.04000091552734,36500,0,0
2019-10-15,86.87999725341797,88.62999725341797,86.86000061035156,87.58000183105469,66400,0,0
2019-10-16,87.48999786376953,88.93000030517578,87.0199966430664,88.30999755859375,77800,0,0
2019-10-17,88.45999908447266,89.75,88.37000274658203,89.62000274658203,65700,0,0
2019-10-18,89.19000244140625,89.98999786376953,88.29000091552734,89.69000244140625,60900,0,0
2019-10-21,90.0999984741211,90.75,89.7699966430664,90.6500015258789,43300,0,0
2019-10-22,90.45999908447266,91.51000213623047,89.9000015258789,90.18000030517578,39500,0,0
2019-10-23,89.83999633789062,90.7300033569336,89.55000305175781,90.16999816894531,40000,0,0
2019-10-24,90.08000183105469,90.8499984741211,89.58000183105469,90.0,68000,0,0
2019-10-25,89.80000305175781,91.56999969482422,89.66000366210938,90.33000183105469,65100,0,0
2019-10-28,90.37000274658203,93.4800033569336,90.37000274658203,92.86000061035156,57700,0,0
2019-10-29,92.51000213623047,93.9800033569336,91.91999816894531,93.27999877929688,37300,0,0
2019-10-30,93.3499984741211,93.3499984741211,90.8499984741211,92.33999633789062,40900,0,0
2019-10-31,92.11000061035156,92.69999694824219,90.0199966430664,90.98999786376953,42800,0,0
