Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-22,15.878614477369554,16.128302521189763,15.77717777940626,15.894220352172852,33900,0.0,0
2019-07-23,15.902022921575774,16.07368457998892,15.777178890870708,15.816193580627441,19600,0.0,0
2019-07-24,15.83180092048464,16.050277250291728,15.644533368852313,15.941039085388184,71700,0.0,0
2019-07-25,15.964446047618372,16.089291575267524,15.70695503034254,15.730363845825195,101300,0.0,0
2019-07-26,15.886419196344121,16.065882311933414,15.730363407326642,15.855207443237305,71400,0.0,0
2019-07-29,15.933235781899842,15.987854863101028,15.54699851185692,15.730363845825195,90200,0.0,0
2019-07-30,15.73816206434998,16.073680877685547,15.706950319733696,16.073680877685547,53500,0.0,0
2019-07-31,15.628928621917042,16.120501840986055,15.607860836808486,15.730363845825195,61600,0.0,0
2019-08-01,15.769374445352835,16.073683043330217,15.410448263453995,15.683545112609863,144400,0.0,0
2019-08-02,15.88015856076517,16.118161760550578,15.338879751010925,15.482159614562988,357600,0.397,0
2019-08-05,15.370719504738721,15.370719504738721,15.02048151091887,15.060280799865723,107400,0.0,0
2019-08-06,15.084160646331368,15.17171938196104,14.686161700710441,15.076200485229492,143600,0.0,0
2019-08-07,14.92495952392243,14.92495952392243,14.248361055188868,14.471240997314453,121100,0.0,0
2019-08-08,14.487162361938909,14.78168073420588,14.487162361938909,14.678201675415039,78200,0.0,0
2019-08-09,14.686160940735965,14.956800331212879,14.327961300914927,14.431440353393555,257000,0.0,0
2019-08-12,14.391642571307733,14.72596176397648,14.284182668137895,14.66228199005127,93400,0.0,0
2019-08-13,14.69412111789109,14.89312060118807,14.519002119158154,14.66228199005127,79600,0.0,0
2019-08-14,14.646360297153134,14.74188070822983,14.283385771552535,14.487161636352539,109700,0.0,0
2019-08-15,14.5428822011016,14.5428822011016,14.017523701201801,14.304081916809082,58300,0.0,0
2019-08-16,14.351842193220474,14.678201199610386,14.272242102291004,14.65432071685791,49300,0.0,0
2019-08-19,14.765758537863237,14.988638467754738,14.558800446547576,14.901078224182129,88900,0.0,0
2019-08-20,14.90108092515587,15.251320444685504,14.765761214308894,15.1637601852417,79300,0.0,0
2019-08-21,15.203562044019614,15.265649183310101,14.829442013809695,14.964761734008789,100700,0.0,0
2019-08-22,14.9568007587408,15.10803926143679,14.614521430515902,14.65432071685791,92800,0.0,0
2019-08-23,14.57472004865234,14.717999903001258,14.399601070139992,14.471240997314453,103400,0.0,0
2019-08-26,14.479199789909844,14.59063899132107,14.25631986884214,14.383679389953613,232800,0.0,0
2019-08-27,14.375721692973016,14.646361101262546,14.304081760293698,14.479202270507812,77400,0.0,0
2019-08-28,14.526963443914306,14.877202987670897,14.431443016254985,14.877202987670898,131000,0.0,0
2019-08-29,15.004558945932734,15.593597140151248,14.948839342435019,15.378677368164062,135300,0.0,0
2019-08-30,15.44235822386168,15.446339063390338,14.972719363678781,15.115999221801758,65200,0.0,0
2019-09-03,15.09211704952631,15.768715460324172,14.96475752728733,15.394597053527832,171500,0.0,0
2019-09-04,15.593597002141648,15.72095652850791,15.354798269766235,15.506036758422852,225900,0.0,0
2019-09-05,15.585637141232162,15.752797471700946,15.322957923277222,15.386637687683105,71600,0.0,0
2019-09-06,15.275197729782288,15.275197729782288,15.123957727399617,15.195597648620605,88200,0.0,0
2019-09-09,15.219477615597173,15.705035209655763,15.219477615597173,15.705035209655762,97700,0.0,0
2019-09-10,15.697079512656423,15.864239876811363,15.299080525353562,15.330921173095703,48900,0.0,0
2019-09-11,15.33091745126447,15.53469329625643,15.251317369478992,15.402557373046875,65000,0.0,0
2019-09-12,15.291117971274995,15.410518863383292,15.131919312206282,15.17171859741211,96000,0.0,0
2019-09-13,15.179678026427792,15.625436375877793,15.179678026427792,15.585637092590332,102800,0.0,0
2019-09-16,15.848315800613413,15.999555805088939,15.251317461007448,15.474197387695312,140600,0.0,0
2019-09-17,15.322957291261394,15.625435780151879,15.187637607699665,15.402557373046875,97000,0.0,0
2019-09-18,15.291117615577656,15.60155780229429,15.23539801028747,15.537878036499023,136500,0.0,0
2019-09-19,15.617481315370876,15.72892054872838,15.474201433485117,15.553801536560059,53200,0.0,0
2019-09-20,15.601560970933013,16.07916007051941,15.545841354326308,15.911999702453613,208600,0.0,0
2019-09-23,15.832396348231256,16.07915676859576,15.71299697741525,15.82443618774414,67500,0.0,0
2019-09-24,15.824435461065201,15.89607538391408,15.561756250034414,15.768715858459473,45600,0.0,0
2019-09-25,15.665237086397171,15.665237086397171,15.31499762617007,15.513997077941895,94900,0.0,0
2019-09-26,15.498076598244294,15.641356444967668,15.378677232056589,15.506036758422852,66000,0.0,0
2019-09-27,15.402558431442415,15.681157977713077,15.362757628692101,15.56175708770752,47900,0.0,0
2019-09-30,15.537880828682669,15.689119350720889,15.330921173095701,15.330921173095703,81300,0.0,0
2019-10-01,15.394596322797234,15.577675437544947,15.25927664706084,15.338876724243164,98800,0.0,0
2019-10-02,15.30703721816142,15.529917147106813,15.096098288535895,15.434396743774414,87500,0.0,0
2019-10-03,15.35480203799555,15.625439959257251,15.28316209705267,15.553801536560059,48900,0.0,0
2019-10-04,16.23835448242848,16.946793542267088,15.983635434585727,16.429393768310547,321600,0.0,0
2019-10-07,16.38163620768432,16.469196459777752,16.142837452469177,16.158756256103516,72100,0.0,0
2019-10-08,16.214476728814372,16.245520292456288,15.872197413428827,16.039356231689453,88300,0.0,0
2019-10-09,16.14283903877387,16.238357942948078,16.039358454631937,16.055278778076172,69900,0.0,0
2019-10-10,16.015477526200737,16.389595971846163,15.943837597721444,16.254276275634766,99700,0.0,0
2019-10-11,16.333874954268868,16.469194638794065,16.09507470721219,16.413475036621094,107400,0.0,0
2019-10-14,16.38959455644184,16.54083456108654,16.174674789564417,16.413475036621094,99300,0.0,0
2019-10-15,16.54083416457265,16.994552649385,16.413474643160246,16.79555320739746,147800,0.0,0
2019-10-16,16.779635984775197,16.978635463493234,16.769287623211003,16.87515640258789,108100,0.0,0
2019-10-17,16.954751850040342,17.03435193048441,16.79555320739746,16.79555320739746,97700,0.0,0
2019-10-18,16.867197201779717,17.042316206455634,16.795557263901927,16.827396392822266,70900,0.0,0
2019-10-21,16.75575250809953,16.8035134675983,16.32591450032746,16.4851131439209,61400,0.0,0
2019-10-22,16.61247530567543,16.61247530567543,16.381635207252216,16.493074417114258,45000,0.0,0
2019-10-23,16.516957125027808,16.516957125027808,16.373677254035986,16.508996963500977,32600,0.0,0
2019-10-24,16.564716183380785,16.914955691033285,16.437356638460884,16.87515640258789,69500,0.0,0
2019-10-25,17.11395206808096,17.136239908490296,16.9388331051154,17.066192626953125,95000,0.0,0
2019-10-28,17.201513968324665,17.201513968324665,16.84331432969292,16.851274490356445,50600,0.0,0
2019-10-29,16.723917242393565,17.185595996271946,16.715957080641882,17.026395797729492,72600,0.0,0
2019-10-30,17.51195292504093,17.51195292504093,16.739835547187027,17.15375328063965,103200,0.0,0
2019-10-31,17.23335262379103,17.23335262379103,16.823414229369426,16.96271324157715,130100,0.0,0
2019-11-01,16.995992627197914,17.239487598124644,16.768729519057235,16.979759216308594,84200,0.411,0
2019-11-04,17.028457776983444,17.442400463029877,16.72814741823226,17.32876968383789,228400,0.0,0
2019-11-05,17.31253691615215,17.450517816626352,17.052808526577966,17.353118896484375,78000,0.0,0
2019-11-06,17.353116899769176,17.369350309275514,16.841776885144625,17.08527183532715,69200,0.0,0
2019-11-07,17.125858715462048,17.345005142437074,17.052809906470376,17.215139389038086,63600,0.0,0
2019-11-08,17.190788685676083,17.190788685676083,16.94729216987391,17.04469108581543,55500,0.0,0
2019-11-11,17.044690114908896,17.174554296698044,16.80931031785159,17.03657341003418,35500,0.0,0
2019-11-12,17.028457219560824,17.247603613488746,16.906709738968605,16.939176559448242,51200,0.0,0
2019-11-13,16.97164195430611,17.069040868344725,16.679446760293494,16.825544357299805,60500,0.0,0
2019-11-14,16.833659749661326,16.898591837922094,16.379135131835938,16.379135131835938,107800,0.0,0
2019-11-15,16.40348460104208,16.68756308337158,16.24115514549893,16.354785919189453,74100,0.0,0
2019-11-18,16.39537018881918,16.565816357096516,16.135640261567648,16.19245719909668,121800,0.0,0
2019-11-19,16.216804004796018,16.38157016432888,15.916493679579288,16.095056533813477,83600,0.0,0
2019-11-20,15.99765744721664,16.29796931713964,15.99765744721664,16.17622184753418,65800,0.0,0
2019-11-21,16.249267727549928,16.59827821316257,16.11940357682468,16.517112731933594,58000,0.0,0
2019-11-22,16.468418610503996,16.646981480039038,16.444068494979717,16.590166091918945,30800,0.0,0
2019-11-25,16.573933424386414,16.744379596385823,16.567440679196903,16.66321563720703,88900,0.0,0
2019-11-26,16.71110715566578,16.80120059638689,16.570691057303584,16.582054138183594,56000,0.0,0
2019-11-27,16.557700458211798,16.809312144254044,16.557700458211798,16.76873016357422,49800,0.0,0
2019-11-29,16.582050356401407,16.752496530728756,16.582050356401407,16.598283767700195,31300,0.0,0
2019-12-02,16.646980448222397,16.646980448222397,16.216804389242743,16.33043670654297,65600,0.0,0
2019-12-03,16.28173958742569,16.64698362687656,16.190834954710247,16.525236129760742,63000,0.0,0
2019-12-04,16.46030261028828,16.677825054736893,16.346670281078246,16.646982192993164,99900,0.0,0
2019-12-05,16.646981068534362,16.76061184196566,16.573932271870476,16.736263275146484,89400,0.0,0
2019-12-06,16.679449112988014,16.841780143248652,16.631561629352504,16.695682525634766,77400,0.0,0
2019-12-09,16.614514480290946,16.906709671020508,16.614514480290946,16.906709671020508,91500,0.0,0
2019-12-10,16.533351911923827,17.044691990472536,16.533351911923827,17.020341873168945,215100,0.0,0
2019-12-11,17.012223551628914,17.04469037161676,16.841777391002275,16.98787498474121,113500,0.0,0
2019-12-12,16.987875663099423,17.247604040960905,16.926189941141836,17.028457641601562,108100,0.0,0
2019-12-13,16.939175369429094,17.109621520663296,16.784961079191174,16.995990753173828,115200,0.0,0
2019-12-16,16.890473384185714,17.069037769487885,16.801192739637568,16.898590087890625,445400,0.0,0
2019-12-17,16.979758974115423,17.986207213348635,16.979758974115423,17.677780151367188,236600,0.0,0
2019-12-18,17.75082813042354,17.848225493660014,17.1583210536384,17.572263717651367,292000,0.0,0
2019-12-19,17.750829403694535,17.990266798638604,17.596615094721248,17.783294677734375,338000,0.0,0
2019-12-20,17.807643327643746,17.969972780679523,17.629078916770283,17.65342903137207,172600,0.0,0
2019-12-23,17.75082810875381,18.206163954939992,17.63719578764574,18.189119338989258,252900,0.0,0
2019-12-24,18.262170364243033,18.416384680787804,18.172888147069212,18.408267974853516,76400,0.0,0
2019-12-26,18.46508242601471,18.659878714187087,18.3271015283797,18.651762008666992,67500,0.0,0
2019-12-27,18.667996084960773,18.667996084960773,18.075490493808996,18.205354690551758,89500,0.0,0
2019-12-30,18.148537951140142,18.46508171369619,18.059255741966602,18.359567642211914,99700,0.0,0
2019-12-31,18.343335875482563,18.497550192027337,18.278403776111613,18.408267974853516,61500,0.0,0
2020-01-02,18.59494728078005,18.59494728078005,18.18100457312374,18.205354690551758,85800,0.0,0
2020-01-03,18.18100254678454,18.838440163033876,18.132303865459484,18.773508071899414,173400,0.0,0
2020-01-06,18.83844075614204,19.22803486331794,18.805975483604257,18.94395637512207,260200,0.0,0
2020-01-07,19.309198991470208,19.447178325056875,19.00888711434432,19.31731414794922,363500,0.0,0
2020-01-08,19.41471247169041,19.723139496031386,19.349780385086888,19.54457664489746,370900,0.0,0
2020-01-09,19.682559967041016,19.893589661738382,19.34166608300731,19.682559967041016,194500,0.0,0
2020-01-10,19.690674498151267,20.21824790258862,19.503994940106267,20.112733840942383,259100,0.0,0
2020-01-13,20.096503527447204,20.49421281814575,19.885473823547365,20.29129981994629,138700,0.0,0
2020-01-14,20.50233198492309,20.607846075487142,20.258835428992686,20.44551658630371,192900,0.0,0
